,Boat Type,Manufacturer,Type,Year Built,Length,Width,Material,Number of views last 7 days,Country,City,USD_price
8313,Pilothouse,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2018,6.5,2.4,PVC,64,France ," LORIENT, LORIENT",43990.0
8314,Classic,WeiBo power boats,"Display Model,Unleaded",2018,7.6,1.95,Wood,118,Switzerland , Lake Constance ,43990.0
8315,Cabin Boat,Quicksilver (Brunswick Marine) power boats,"new boat from stock,Unleaded",2020,6.02,2.34,GRP,99,Germany , Kieler Bucht mit Fehmarn ,43990.0
8316,Bowrider,Saxdor power boats,"new boat on order,Unleaded",2020,5.94,2.29,GRP,121,Germany , Boote Pfister GmbH Schwebheim / Schweinfurt,43990.0
8317,"Sport Boat,Wakeboard/Wakesurf",MasterCraft power boats,"Used boat,Unleaded",2008,6.4,2.59,Carbon Fiber,507,Poland , Warszawa,43990.0
8318,Pilothouse,Jeanneau power boats,"Used boat,Unleaded",2016,6.55,2.54,PVC,133,France ," SAINT CYPRIEN, France",43990.0
8319,Pilothouse,Jeanneau power boats,Used boat,2016,6.55,2.54,PVC,88,France ," SAINT CYPRIEN, France",43990.0
8320,Pilothouse,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2020,5.52,2.4,PVC,45,France ," Vaux-sur-Seine, France",43955.020000000004
8322,Motor Yacht,Parker power boats,new boat from stock,2018,6.45,2.45,GRP,101,Germany , Nordrhein-Westfalen ,43878.700000000004
8323,Sport Boat,Quicksilver (Brunswick Marine) power boats,"new boat from stock,Unleaded",2020,5.75,2.4,GRP,99,Switzerland , Luganersee ,48135.600000000006
8324,Fishing Boat,Flipper power boats,"Used boat,Unleaded",2007,6.3,2.4,GRP,242,Switzerland , VierwaldstÃ¤ttersee ,48060.0
8325,Sport Boat,Scarani power boats,"Used boat,Unleaded",2015,6.9,2.42,GRP,686,Switzerland , Lake Constance ,47520.0
8328,Motor Yacht,Cranchi power boats,"Used boat,Diesel",1999,9.69,3.07,GRP,51,Italy , Liguria ,43460.0
8329,Pilothouse,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2020,6.5,2.43,PVC,35,France ," les sables d olonne, les sables d olonne",43460.0
8330,Trawler,Hollandia power boats,Used boat,1968,11.8,3.6,Steel,133,Netherlands , Brielle,43460.0
8332,"Bowrider,Sport Boat,Wakeboard/Wakesurf",Regal power boats,"Used boat,Unleaded",2014,6.4,2.59,Carbon Fiber,418,Poland , Warszawa,43460.0
8333,Pilothouse,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2020,6.5,2.43,PVC,94,France ," SAINT GILLES CROIX DE VIE, SAINT GILLES CROIX DE V",43460.0
