,Boat Type,Manufacturer,Type,Year Built,Length,Width,Material,Number of views last 7 days,Country,City,USD_price
2840,Motor Yacht,Jeanneau power boats,"Used boat,Diesel",2017,14.3,4.1,GRP,221,Netherlands , ZEELAND,422940.0
2841,Motor Yacht,Azimut power boats,"Used boat,Diesel",2017,13.86,4.25,GRP,122,Croatia (Hrvatska) , Istrien,422940.0
2842,Flybridge,BÃ©nÃ©teau power boats,"Used boat,Diesel",2020,13.43,4.2,PVC,72,Sweden ," Stockholm, Stockholm",422940.0
2844,Flybridge,Prestige Yachts power boats,"Used boat,Diesel",2014,13.96,4.25,PVC,87,France ," Cavalaire, ANTIBES",422940.0
2845,Motor Yacht,Ferretti power boats,"Used boat,Unleaded",2000,19.5,5.1,GRP,42,Greece , Athen,439900.0
2846,Motor Yacht,Azimut power boats,"Used boat,Diesel",2011,13.78,4.3,GRP,41,Croatia (Hrvatska) , INFO DD-YACHTING,439900.0
2847,Flybridge,Prestige Yachts power boats,"Used boat,Diesel",2017,12.64,3.97,PVC,29,France ," Grimaud, Grimaud",439900.0
2848,Trawler,BÃ©nÃ©teau power boats,"Used boat,Diesel",2018,13.88,4.25,PVC,87,France ," SAINT GILLES CROIX DE VIE, SAINT GILLES CROIX DE V",439900.0
2849,Motor Yacht,Elling power boats,Used boat,2011,14.95,4.25,GRP,67,Netherlands , In verkoophaven,439900.0
2852,Motor Yacht,BÃ©nÃ©teau power boats,"Used boat,Diesel",2019,14.81,4.18,GRP,127,United Kingdom , Swanwick,375000.0
2853,Flybridge,Cayman power boats,"Used boat,Diesel",2007,18.6,5.07,GRP,58,Italy , Toscana ,434600.0
2854,Cabin Boat,Nimbus power boats,"new boat on order,Diesel",2020,10.87,3.4,GRP,267,Sweden , In Produktion,434600.0
2855,Trawler,Grand Banks power boats,"Used boat,Diesel",2005,14.02,4.5,GRP,122,France , PACA,434600.0
2858,Flybridge,BÃ©nÃ©teau power boats,"Used boat,Diesel",2016,15.1,4.32,PVC,67,France ," 44380 PORNICHET, France",433540.0
2859,Flybridge,BÃ©nÃ©teau power boats,"Used boat,Diesel",2016,15.1,4.32,PVC,54,France ," PORNICHET, France",433540.0
2860,Flybridge,Azimut power boats,"Used boat,Diesel",2008,17.48,4.8,GRP,52,Italy , Lazio ,455800.0
2863,Hardtop,Nimbus power boats,"new boat on order,Diesel",2020,11.33,3.4,GRP,279,Germany , Mosel ,455800.0
2864,Motor Yacht,Jeanneau power boats,"Used boat,Diesel",2017,13.93,4.1,GRP,301,Germany , LÃ¼becker Bucht ,455800.0
2865,Motor Yacht,Sessa power boats,"new boat from stock,Diesel",2021,11.5,3.75,GRP,209,Switzerland , VierwaldstÃ¤ttersee ,454857.66000000003
2866,Catamaran,Fountaine Pajot power boats,"Display Model,Diesel",2018,11.0,5.1,GRP,88,Spain , Mallorca ,454740.0
2868,Flybridge,Prestige Yachts power boats,"Used boat,Diesel",2015,13.96,4.31,GRP,74,Spain , Mallorca ,454740.0
2869,Flybridge,Prestige Yachts power boats,"Used boat,Diesel",2015,13.96,4.3,GRP,100,Spain , Mallorca ,454740.0
2870,Flybridge,Prestige Yachts power boats,"Used boat,Diesel",2015,13.0,4.0,PVC,53,Spain ," Palma, Espagne",454740.0
2871,Motor Yacht,Brabus power boats,"new boat from stock,Unleaded",2019,11.73,3.35,GRP,325,Germany , Ausstellungshalle Traben-Trarbach ,454740.0
2873,Hardtop,Prestige Yachts power boats,"Used boat,Diesel",2014,15.2,4.5,PVC,71,France ," CANET EN ROUSSILLON, CANET EN ROUSSILLON",454740.0
2874,Flybridge,Azimut power boats,"Used boat,Diesel",2005,19.25,5.06,GRP,73,Croatia (Hrvatska) , INFO BOOTE RIEDL SUKOSAN,454740.0
2876,Flybridge,Jeanneau power boats,"Used boat,Diesel",2014,12.52,4.25,GRP,95,France , PACA,475940.0
2878,Hardtop,Princess power boats,"Used boat,Diesel",2007,16.12,4.47,GRP,72,Italy , Nord Adria,474880.0
2879,Trawler,BÃ©nÃ©teau power boats,"new boat from stock,Diesel",2020,13.43,4.25,PVC,80,France ," saint cyprien, France",473565.60000000003
2880,Trawler,BÃ©nÃ©teau power boats,"new boat from stock,Diesel",2020,13.43,4.25,PVC,68,France ," saint cyprien, France",473565.60000000003
2882,Fishing Boat,Cabo power boats,"Used boat,Diesel",2007,14.67,4.82,GRP,77,Italy , Sardegna ,471700.0
2883,Flybridge,Seaway power boats,"Used boat,Diesel",2005,16.0,4.0,GRP,77,Croatia (Hrvatska) , Kvarner,471700.0
2886,Catamaran,Fountaine Pajot power boats,"Used boat,Diesel",2007,13.95,6.55,GRP,83,France , Marseille,471700.0
2887,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2008,17.0,4.0,GRP,98,Croatia (Hrvatska) , On request,471700.0
2889,"Classic,Runabout",Pedrazzini power boats,"Used boat,Unleaded",2008,10.3,2.98,Wood,422,Switzerland , Lake of Zurich ,518400.00000000006
2890,Motor Yacht,Marex power boats,"Used boat,Diesel",2020,11.49,3.49,GRP,154,Denmark , Ultimo Juni 2020 Reese Marin,461860.00000000006
2891,Hardtop,BÃ©nÃ©teau power boats,"Used boat,Diesel",2015,15.1,4.27,PVC,53,France ," HYERES, France",468165.96
2892,Hardtop,Marex power boats,new boat from stock,2019,11.49,3.49,GRP,271,Switzerland , Goldach,534600.0
2893,Pilothouse,Jeanneau power boats,"new boat on order,Diesel",2020,14.3,4.1,GRP,70,Germany , Bayern ,484629.88
2894,Motor Yacht,Jeanneau power boats,"new boat on order,Diesel",2020,14.3,4.1,GRP,44,Germany , BÃ¶nningstedt,484629.88
2897,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2009,17.65,4.63,GRP,30,Turkey , Gocek,482300.0
2900,Trawler,Super Lauwersmeer power boats,Used boat,2017,14.2,4.36,Steel,136,Netherlands , In verkoophaven,480180.0
2903,Trawler,Doggersbank power boats,"Used boat,Diesel",1990,19.0,5.0,Steel,36,Netherlands , onbekend,477000.0
2907,Motor Yacht,Dominator power boats,"Used boat,Diesel",2002,20.0,5.0,GRP,81,Croatia (Hrvatska) , Dalmatia,503500.0
2908,Trawler,van der Heijden power boats,Used boat,2009,18.0,5.3,Steel,107,Netherlands , onbekend,503500.0
2909,Motor Yacht,Leopard power boats,"Used boat,Diesel",2006,24.08,6.04,GRP,87,France , South of France,503500.0
2910,Motor Yacht,Wim van der Valk power boats,"Used boat,Diesel",2009,17.0,4.6,Steel,139,Netherlands , Urk (NL),503500.0
2911,Flybridge,Sunseeker power boats,"Used boat,Diesel",2002,20.27,5.21,Carbon Fiber,183,Spain , Costa Brava ,503500.0
2915,Hardtop,BÃ©nÃ©teau power boats,"Used boat,Diesel",2017,14.78,4.15,PVC,126,France ," Cannes, France",503500.0
2916,Motor Yacht,Linssen power boats,"Used boat,Diesel",2015,13.25,4.35,Steel,128,Netherlands , Limburg ,503500.0
2917,Sport Boat,Cranchi power boats,"new boat from stock,Diesel",2020,11.7,3.53,GRP,228,Italy ," Marine Test Centre ""Italo Monzino""",501702.24000000005
2918,Flybridge,Prestige Yachts power boats,"Used boat,Diesel",2013,14.99,4.5,GRP,110,Spain , Costa Blanca ,501380.0
2919,Hardtop,Sealine power boats,"Display Model,Diesel",2020,12.0,3.85,GRP,140,Germany , Kieler Bucht mit Fehmarn ,501380.0
2922,Motor Yacht,Marquis power boats,"Used boat,Diesel",2008,15.09,4.88,GRP,45,Croatia (Hrvatska) , INFO DD-YACHTING,519400.0
2925,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2001,20.06,5.45,GRP,179,Spain , Ibiza,519400.0
2928,Trawler,BÃ©nÃ©teau power boats,"Used boat,Diesel",2014,14.99,4.65,PVC,58,France ," PORNICHET, PORNICHET",519400.0
2929,Trawler,BÃ©nÃ©teau power boats,"Used boat,Diesel",2014,14.99,4.65,PVC,169,France ," PORNICHET, PORNICHET",519400.0
2930,Motor Yacht,Fairline power boats,"Used boat,Diesel",2009,19.51,4.75,GRP,75,Italy , Venice,519400.0
2931,Flybridge,BÃ©nÃ©teau power boats,"Used boat,Diesel",2014,15.1,4.32,PVC,56,France ," ARZON, ARZON",519400.0
2934,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2011,15.75,4.29,GRP,153,United Kingdom , Gb SÃ¼d West,519294.0
2936,Flybridge,Sunseeker power boats,"Used boat,Diesel",2007,18.29,5.0,GRP,62,France , Antibes,455000.0
2937,Motor Yacht,Princess power boats,"Used boat,Diesel",2012,14.72,4.35,GRP,154,Spain , Alicante,455000.0
2938,Motor Yacht,Azimut power boats,"Used boat,Diesel",2006,18.4,4.9,GRP,39,Croatia (Hrvatska) , Informationen BCM-Yachtsales,528940.0
2940,Flybridge,Princess power boats,"Used boat,Diesel",2008,19.2,4.88,GRP,86,Croatia (Hrvatska) , Split,528940.0
2944,Hardtop,Prestige Yachts power boats,"Used boat,Diesel",2015,15.2,4.47,PVC,49,France ," Mandelieu la Napoule, Mandelieu la Napoule",528940.0
2945,Flybridge,Aicon power boats,"Used boat,Diesel",2007,20.41,5.28,GRP,93,Italy , INFO BOOTE RIEDL,528940.0
2946,Offshore Boat,Sunseeker power boats,"Used boat,Diesel",2006,18.9,5.0,GRP,100,France , South of France,528940.0
2948,Trawler,BÃ©nÃ©teau power boats,"new boat from stock,Diesel",2020,13.43,4.2,PVC,34,France ," LES SABLES OLONNE, France",528940.0
2949,Flybridge,Princess power boats,"Used boat,Diesel",2008,19.3,5.03,GRP,76,Croatia (Hrvatska) , INFO BOOTE RIEDL TROGIR,528940.0
2950,Catamaran,Leopard power boats,"Used boat,Diesel",2015,15.54,7.64,GRP,62,Croatia (Hrvatska) , Marina,528940.0
2952,Hardtop,Sealine power boats,"new boat from stock,Diesel",2020,13.55,4.2,GRP,55,Germany , Nordsee ,567567.4600000001
2955,Flybridge,Prestige Yachts power boats,"Used boat,Diesel",2016,15.2,4.5,PVC,82,France ," Ouistreham, France",567100.0
2959,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2001,22.56,5.21,GRP,72,Spain , Roses,561800.0
2960,Motor Yacht,Blu Martin power boats,"Used boat,Diesel",2011,17.07,5.03,GRP,48,Italy , NAPLES,561800.0
2961,Motor Yacht,Tuccoli power boats,"Used boat,Diesel",2017,13.65,4.1,GRP,59,Italy , Toscana ,561800.0
2962,Motor Yacht,Sealine power boats,"new boat from stock,Diesel",2020,12.5,3.85,GRP,81,Germany , LÃ¼becker Bucht ,560740.0
2964,Motor Yacht,Haines power boats,Used boat,2018,12.2,4.06,GRP,79,Netherlands , In verkoophaven,560740.0
2966,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2013,15.79,4.27,GRP,60,Portugal , Vilamoura,479000.0
2967,Hardtop,Azimut power boats,"Used boat,Diesel",2006,20.65,5.07,GRP,106,Italy , Campania ,583000.0
2969,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2007,19.81,5.03,GRP,36,Spain , Ibiza,583000.0
2971,Hardtop,BÃ©nÃ©teau power boats,"Used boat,Diesel",2018,14.78,4.2,PVC,52,France ," Lorient, Lorient",583000.0
2973,Flybridge,Prestige Yachts power boats,"Used boat,Diesel",2013,19.5,5.12,PVC,99,Croatia (Hrvatska) ," ZAGREB, Croatie",583000.0
2974,Flybridge,Sanlorenzo power boats,"Used boat,Diesel",2000,22.78,5.68,GRP,32,Italy , Friuli-Venezia Giulia,583000.0
2975,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2006,19.6,5.03,GRP,124,Portugal , Porto,583000.0
2977,Motor Yacht,Overmarine power boats,"Used boat,Diesel",2004,23.23,5.6,GRP,63,France , Mittelmeer,583000.0
2978,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2008,19.81,5.03,GRP,89,France , Antibes,583000.0
2980,Flybridge,Prestige Yachts power boats,"Used boat,Diesel",2013,19.5,5.12,PVC,46,Montenegro ," Tivat, MontÃ©negro",583000.0
2981,House Boat,Baikal power boats,"new boat on order,Diesel",2021,18.0,8.0,Steel,464,Russian Federation , Moskau,583000.0
2982,Motor Yacht,Fairline power boats,"Used boat,Diesel",2014,14.23,4.33,GRP,81,Egypt , El Gouna,583000.0
2983,Hardtop,Cranchi power boats,"new boat on order,Diesel",2020,13.82,4.06,GRP,417,Switzerland , Lago Maggiore ,613316.0
2985,Sport Boat,Cranchi power boats,new boat from stock,2020,11.85,3.53,GRP,214,Austria , Linz,610967.04
2986,Flybridge,Azimut power boats,"Used boat,Diesel",2000,21.3,5.48,GRP,122,Spain , onbekend,609500.0
2989,Hardtop,Sealine power boats,"new boat from stock,Diesel",2019,12.5,3.85,PVC,134,France ," Frejus, France",608372.16
2990,Flybridge,Galeon power boats,"new boat on order,Diesel",2020,12.5,4.0,GRP,429,Germany , Lake Constance ,606532.0
2991,Motor Yacht,Princess power boats,"Used boat,Diesel",2012,16.64,4.48,GRP,63,United Kingdom , Swanwick,519950.0
2995,Motor Yacht,Azimut power boats,"Used boat,Diesel",2008,19.2,4.9,GRP,58,Greece , Athens,604200.0
2996,Motor Yacht,Mangusta power boats,"Used boat,Diesel",2003,26.59,6.17,GRP,137,Italy , Formia,604200.0
2997,Trawler,BÃ©nÃ©teau power boats,"Used boat,Diesel",2011,17.0,4.9,PVC,131,France ," HyÃ¨res, France",604200.0
2998,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2007,18.9,5.0,GRP,56,Spain , Palmanova,630700.0
2999,Mega Yacht,Vitech power boats,"Used boat,Diesel",2008,23.47,5.33,GRP,117,Spain , Costa Blanca ,630700.0
3000,Flybridge,Prestige Yachts power boats,"Used boat,Diesel",2018,14.29,4.3,PVC,106,France ," Saint-Cast-le-Guildo, France",630700.0
3001,Motor Yacht,Azimut power boats,"Used boat,Diesel",2007,21.59,5.41,GRP,53,Greece , Lefkada,630700.0
3002,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2006,22.25,5.21,GRP,64,Greece , ?????,630700.0
3004,Flybridge,BÃ©nÃ©teau power boats,"Used boat,Diesel",2017,15.1,4.27,PVC,52,France ," AGDE, France, AGDE, AGDE",630700.0
3005,Flybridge,BÃ©nÃ©teau power boats,"Used boat,Diesel",2017,15.1,4.27,PVC,102,France ," AGDE, AGDE",630700.0
3008,Flybridge,Princess power boats,"Used boat,Diesel",2006,20.45,5.23,GRP,122,Spain , Mallorca ,629640.0
3010,Motor Yacht,Fairline power boats,"Used boat,Diesel",2008,17.92,4.85,GRP,127,Spain , onbekend,625400.0
3013,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2007,17.53,5.0,GRP,34,Malta , St Julians,662500.0
3015,Cabin Boat,Nimbus power boats,"new boat on order,Diesel",2020,13.16,3.75,GRP,236,Sweden , In Produktion,662500.0
3018,Flybridge,Prestige Yachts power boats,"new boat from stock,Diesel",2018,15.19,4.5,PVC,74,United Kingdom ," Lincoln, Lincoln",562352.0
3020,Flybridge,Prestige Yachts power boats,"Used boat,Diesel",2019,12.54,4.25,PVC,51,France ," LA ROCHELLE, LA ROCHELLE",651900.0
3021,Flybridge,Greenline power boats,"new boat from stock,Unleaded",2020,14.43,4.49,GRP,149,Denmark , ab vÃ¦rft,640237.5000000001
3022,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2014,16.18,4.3,GRP,74,United Kingdom , Torquay,560000.0
3024,Hardtop,Mochi Craft power boats,Used boat,2008,16.46,4.9,GRP,41,Italy , Mar Tirreno,646600.0
3025,Flybridge,Sanlorenzo power boats,"Used boat,Diesel",2007,19.2,5.2,GRP,45,Italy , Mar Tirreno,646600.0
3027,Flybridge,Prestige Yachts power boats,"Used boat,Diesel",2016,15.19,4.5,PVC,41,United Kingdom ," Burton Waters, Burton Waters",549950.0
3032,Flybridge,Spertini power boats,"Used boat,Diesel",2003,21.9,5.45,GRP,22,Italy , Veneto ,689000.0
3033,Hardtop,Prestige Yachts power boats,"Used boat,Diesel",2017,15.2,4.5,PVC,106,France ," LA BAULE, France",689000.0
3040,Motor Yacht,Sanlorenzo power boats,"Used boat,Diesel",2003,22.0,5.61,GRP,45,France , SÃ¼dfrankreich,689000.0
3041,Trawler,Linssen power boats,Used boat,2005,14.95,4.88,Steel,88,Netherlands , Regio Roermond,688470.0
3043,Flybridge,Sunseeker power boats,"Used boat,Diesel",2006,19.9,5.1,GRP,156,Netherlands , auf Anfrage / on request / Niederlande,687940.0
3044,Motor Yacht,Draco power boats,"Used boat,Unleaded",1983,9.0,3.2,GRP,224,Switzerland , VierwaldstÃ¤ttersee mit eigenem Bootsplatz ,810000.0
3048,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2006,22.25,5.41,GRP,49,Spain , Mallorca ,731400.0
3054,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2010,18.29,4.97,GRP,108,France , Corsica,731400.0
3056,Flybridge,Sealine power boats,"new boat on order,Diesel",2020,13.9,4.48,GRP,161,Croatia (Hrvatska) , Marina Veruda ,730340.0
3057,Flybridge,BÃ©nÃ©teau power boats,"Used boat,Diesel",2017,15.1,4.32,PVC,35,France ," Bandol, France",727160.0
3058,Motor Yacht,Sealine power boats,"Used boat,Diesel",2017,16.15,4.3,GRP,97,France , Beaulieu-sur-Mer,625000.0
3059,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2006,22.25,5.41,GRP,40,Croatia (Hrvatska) , Split,620000.0
3060,Motor Yacht,Princess power boats,"Used boat,Diesel",2009,19.35,5.0,GRP,47,Croatia (Hrvatska) , INFO DD-YACHTING,792880.0
3061,Flybridge,Prestige Yachts power boats,"Used boat,Diesel",2016,17.92,4.79,GRP,123,Spain , Costa Brava ,789700.0
3064,Flybridge,Greenline power boats,"new boat from stock,Unleaded",2020,14.99,4.8,GRP,127,Denmark , ab vÃ¦rft,770568.8200000001
3067,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2007,19.61,5.0,GRP,67,Italy , Nord Adria,773800.0
3068,Flybridge,Galeon power boats,"Used boat,Diesel",2017,16.2,4.46,GRP,107,Spain , Mallorca ,773800.0
3070,Cabin Boat,De Antonio Yachts power boats,"new boat on order,Unleaded",2020,13.9,4.4,GRP,200,Switzerland , Lake Geneva ,772740.0
3071,Mega Yacht,Galeon power boats,"Used boat,Diesel",2018,16.2,4.46,GRP,276,Spain , Costa Blanca ,772740.0
3075,Motor Yacht,Greenline power boats,"new boat from stock,Unleaded",2020,14.99,4.8,GRP,58,Denmark , ab vÃ¦rft,750487.5000000001
3077,"Flybridge,Motor Yacht",Princess power boats,"Used boat,Diesel",2008,19.3,5.03,GRP,231,Greece , Mykonos Island,837400.0
3078,Flybridge,Prestige Yachts power boats,"new boat from stock,Diesel",2020,14.29,4.3,GRP,73,Germany , BÃ¶nningstedt,836340.0
3079,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2007,19.75,5.03,GRP,59,Spain , Barcelona,832100.0
3080,Sport Boat,Cranchi power boats,"new boat from stock,Diesel",2020,13.82,4.06,GRP,104,Austria , Linz - San Giorgio di Nogaro (I),827690.4
3081,Motor Yacht,Fincantieri Yachts power boats,"Used boat,Diesel",2014,23.98,6.08,Steel,75,Slovenia , Koper Capodistria,826800.0
3084,"Flybridge,Motor Yacht",Prestige Yachts power boats,"Used boat,Diesel",2014,16.4,4.5,GRP,402,Austria , Lake Constance ,826800.0
3085,Motor Yacht,Astondoa power boats,"Used boat,Diesel",2015,16.76,5.0,GRP,130,Spain , Murcia,825740.0
3086,Sport Boat,Frauscher power boats,"new boat from stock,Diesel",2020,13.9,3.8,GRP,554,Switzerland , Gottlieben ,822749.74
3087,Flybridge,Prestige Yachts power boats,"Used boat,Diesel",2010,19.5,5.12,PVC,69,Greece ," ATHENS, GrÃ¨ce",821500.0
3088,Motor Yacht,Princess power boats,"Used boat,Diesel",2006,21.64,5.33,GRP,87,France , Saint-Jean-Cap-Ferrat,821500.0
3089,Motor Yacht,Sunseeker power boats,"new boat from stock,Diesel",2020,15.85,4.51,GRP,149,United Kingdom , Poole,705000.0
3090,Sport Boat,Sea Ray power boats,"new boat from stock,Unleaded",2020,11.25,3.2,GRP,118,Austria , Linz,818320.0
3092,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2006,24.97,6.0,GRP,81,Turkey , Southern Turkey,885100.0
3094,Flybridge,Aicon power boats,Used boat,2007,19.99,5.31,GRP,56,Italy , Veneto ,879800.0
3096,Flybridge,Azimut power boats,"Used boat,Diesel",2016,16.12,4.66,GRP,76,Italy , Rome,879800.0
3099,Cabin Boat,Linssen power boats,"Used boat,Diesel",2008,15.75,4.88,Steel,139,Germany , Brandenburg ,874500.0
3100,Flybridge,Sunseeker power boats,"Used boat,Diesel",2007,22.86,5.7,GRP,68,Turkey , Gocek,750000.0
3101,Hardtop,Princess power boats,"Used boat,Diesel",2017,16.1,4.1,GRP,104,Spain , Costa del Sol ,749950.0
3102,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2005,25.3,6.19,GRP,114,United Kingdom , Southampton,749500.0
3106,Flybridge,Prestige Yachts power boats,"new boat from stock,Diesel",2020,16.11,4.5,PVC,72,France ," CANET EN ROUSSILLON, France",863052.0
3110,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2008,24.99,5.52,GRP,182,Croatia (Hrvatska) , .,799000.0
3113,Trawler,Integrity power boats,"Used boat,Diesel",2017,16.23,4.8,GRP,81,Germany , Ostsee ,926764.3600000001
3114,Flybridge,Sunseeker power boats,"Used boat,Diesel",2000,26.56,5.95,GRP,83,Spain , onbekend,795000.0
3117,Flybridge,Sunseeker power boats,"Used boat,Diesel",2009,19.88,5.67,GRP,45,Croatia (Hrvatska) , INFO DD-YACHTING,922200.0
3118,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2008,21.98,5.41,GRP,69,Greece , .,922200.0
3119,Motor Yacht,Riva power boats,"Used boat,Diesel",2006,20.75,5.45,GRP,86,Greece , Griechenland,921140.0
3120,Flybridge,Prestige Yachts power boats,"Used boat,Diesel",2019,16.1,4.49,PVC,96,France ," Cavalaire, Cavalaire",920080.0
3121,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2008,21.98,5.7,GRP,35,Turkey , Bodrum,790000.0
3122,Flybridge,BÃ©nÃ©teau power boats,"Used boat,Diesel",2015,18.35,4.88,PVC,103,France ," PORT NAPOLEON, France",916900.0
3124,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2015,18.34,4.72,GRP,57,Spain , Mallorca ,985800.0
3126,Motor Yacht,Riviera power boats,Used boat,2017,17.29,4.88,GRP,32,France , Frankrijk (France),975200.0
3130,Hardtop,Cayman power boats,"Used boat,Diesel",2008,23.05,5.5,GRP,101,Italy , Liguria ,954000.0
3136,Motor Yacht,Azimut power boats,"Used boat,Diesel",1991,30.0,6.2,GRP,743,France , CÃ´te d'Azur ,954000.0
3138,Flybridge,BÃ©nÃ©teau power boats,"Used boat,Diesel",2018,13.25,4.27,GRP,46,Croatia (Hrvatska) , NOVIGRAD,952940.0
3140,Flybridge,Princess power boats,"Used boat,Diesel",2011,19.72,5.05,GRP,98,Croatia (Hrvatska) , INFO BOOTE RIEDL DUBROVNIK,1049400.0
3144,Flybridge,Azimut power boats,"Used boat,Diesel",1992,29.87,6.1,GRP,132,Croatia (Hrvatska) , Kroatien,1049294.0
3146,Flybridge,Princess power boats,"Used boat,Diesel",2020,15.55,4.34,GRP,292,Netherlands , Niederlande,1144800.0
3148,Flybridge,Fairline power boats,"Used boat,Diesel",2017,16.95,4.3,GRP,94,United Kingdom , Southampton,899900.0
3150,Sport Boat,Cranchi power boats,"Display Model,Diesel",2019,13.8,4.37,GRP,156,Italy , Veneto ,1042429.4400000001
3154,Flybridge,Azimut power boats,"Used boat,Diesel",2013,20.15,5.0,GRP,82,Turkey , Northern Turkey,1038800.0
3156,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2016,17.37,4.72,GRP,58,Malta , Portomaso,1113000.0
3159,Flybridge,Sunseeker power boats,"new boat from stock,Diesel",2020,16.76,4.61,GRP,32,United Kingdom , Poole,950000.0
3160,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2016,17.37,4.72,GRP,49,Spain , Empuriabrava,949000.0
3161,Mega Yacht,Pershing power boats,"Used boat,Diesel",2006,23.49,5.51,GRP,133,Italy , Napels,1102400.0
3164,Motor Yacht,Cranchi power boats,new boat from stock,2018,15.82,4.67,GRP,66,Netherlands , onbekend,1089440.44
3166,Flybridge,Sunseeker power boats,"Used boat,Diesel",2010,22.56,5.7,GRP,52,Turkey , Bodrum,1081200.0
3167,Flybridge,Jeanneau power boats,"Used boat,Diesel",2016,19.5,5.1,GRP,869,Croatia (Hrvatska) , Croatia Seget ,1081200.0
3169,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2016,18.01,4.72,GRP,78,Italy , Lavagna,925000.0
3170,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2012,19.2,5.13,GRP,58,France , Beaulieu sur Mer,925000.0
3171,Flybridge,Sunseeker power boats,"Used boat,Diesel",2013,21.07,5.08,GRP,83,Spain , Mallorca ,1219000.0
3172,Flybridge,Sunseeker power boats,"Used boat,Diesel",2018,17.21,4.87,GRP,166,Switzerland , Griechenland ,1219000.0
3174,Motor Yacht,Azimut power boats,"Used boat,Diesel",2010,21.37,5.58,GRP,85,Italy , Rome,1219000.0
3179,Flybridge,Sunseeker power boats,"Used boat,Diesel",2018,17.37,4.61,GRP,24,Turkey , Bodrum,1040000.0
3180,Flybridge,Prestige Yachts power boats,"new boat from stock,Diesel",2019,18.9,4.88,PVC,63,United Kingdom ," Lincoln, Lincoln",1038734.0
3187,Flybridge,Sunseeker power boats,"Used boat,Diesel",2019,16.76,4.61,GRP,69,Spain , Mallorca ,1149000.0
3189,Hardtop,Pershing power boats,"Used boat,Diesel",2017,16.51,4.38,GRP,160,Italy , Rom,1325000.0
3191,Motor Yacht,Pershing power boats,"Used boat,Diesel",2010,19.81,5.03,GRP,94,France , Bormes-les-Mimosas,1325000.0
3192,Hardtop,Pershing power boats,"Used boat,Diesel",2010,20.04,5.45,GRP,170,Switzerland , Frankreich ,1325000.0
3193,Mega Yacht,Tecnomar power boats,"Used boat,Diesel",2006,34.44,7.22,GRP,221,Italy , Rome,1325000.0
3195,Flybridge,Princess power boats,"Used boat,Diesel",2010,22.35,5.49,GRP,44,Croatia (Hrvatska) , INFO BOOTE RIEDL DUBROVNIK,1325000.0
3196,Flybridge,Aicon power boats,"Used boat,Diesel",2008,23.98,6.44,GRP,62,Italy , Mare Adriatico,1325000.0
3198,Motor Yacht,Baikal power boats,"new boat on order,Diesel",2021,19.9,9.0,Steel,398,Russian Federation , Moskau,1325000.0
3199,Motor Yacht,Azimut power boats,"Used boat,Diesel",2016,16.76,4.7,GRP,133,Spain , Mallorca ,1323940.0
3200,Motor Yacht,Sunseeker power boats,"new boat from stock,Diesel",2020,18.01,4.72,GRP,87,United Kingdom , Poole,1135000.0
3201,Flybridge,Fairline power boats,"Used boat,Diesel",2014,20.41,5.24,GRP,24,France , Nice,1319700.0
3202,Motor Yacht,Posillipo power boats,"Used boat,Diesel",2007,25.91,6.4,GRP,39,Montenegro , Budva,1484000.0
3204,Motor Yacht,MCY power boats,"Used boat,Diesel",2012,19.82,5.25,GRP,33,Croatia (Hrvatska) , Zadar,1478700.0
3206,Sport Boat,Cranchi power boats,"new boat from stock,Diesel",2020,18.52,4.85,GRP,130,Austria ," Linz Marine Test Centre ""Italo Monzino""",1474884.0
3211,"Flybridge,Hardtop,Motor Yacht",Prestige Yachts power boats,"Used boat,Diesel",2018,19.03,5.15,GRP,281,Spain , Mallorca ,1473400.0
3216,Flybridge,Azimut power boats,"Used boat,Diesel",2013,21.62,5.56,GRP,114,Italy , tyrrhenian,1457500.0
